1
CSTART
1
CEND
51
CSTART	C3	LinkedList
C3	CEND	<END>
C2	C3	listIterator
C0	C4	remove
C4	C0	listIterator
C1	C4	remove
C1	C2	add:TRUE
C2	C3	size
C2	C1	toArray
C2	C4	remove
C2	C2	add:TRUE
C4	C0	size
C4	C4	addLast
C1	C0	remove:TRUE
C4	C2	remove:FALSE
C2	C0	listIterator
C0	C4	addLast
C3	C2	remove:FALSE
C3	C4	addLast
C0	C3	size
C3	C1	toArray
C4	C2	add:TRUE
C4	C4	remove
C3	C3	addLast
C3	C2	add:TRUE
C0	C4	remove:FALSE
C1	C4	remove:FALSE
C2	C3	remove:TRUE
C2	C0	size
C4	C1	toArray
C3	C4	remove
C4	C3	listIterator
C0	C1	toArray
C0	C2	add:TRUE
C1	C4	addLast
C2	C4	addLast
C2	C2	remove:FALSE
C0	C0	remove:TRUE
C0	C0	listIterator
C3	C3	remove:TRUE
C2	CEND	<END>
C3	C3	listIterator
C3	C3	size
C1	C0	add
C1	CEND	<END>
C0	C0	size
C4	C0	remove:TRUE
C0	C2	remove:FALSE
C4	CEND	<END>
C4	C3	size
C0	CEND	<END>
